"","community_garden","notes","community_center","restrooms_available","skate_park","historic_features","mountain_bike_trails","park_name","picnic_shelters","hiking_trails","picnic_shelters_quantity","disc_golf","football_multi_purpose_fields","tennis_courts","playground","canoe_launch","swimming_pool","mapped_location.human_address","mapped_location.needs_recoding","baseball_fields","spray_park","ada_accessible","nature_center","walk_jog_paths","boat_launch","basketball_courts","camping_available_by_permit","dog_park","fishing_by_permit","volleyball","soccer_fields","acres","horse_trails","golf_course","lake","mapped_location.latitude","mapped_location.longitude"
"11","No","Outdoor Pool, Looby Community Center","Yes","Yes","No","No","No","Buena Vista Park","No","No","0","No","No","No","No","No","Yes","{""address"":""2301 Metro Center Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","Yes","No","No","No","No","No","46.48","No","No","No","36.193625","-86.808126"
"12","No","Model Airplane Field, 3 Reservable Picnic Shelters","No","Yes","No","No","Yes","Cane Ridge Park","Yes","No","3","No","Yes","Yes","Yes","No","No","{""address"":""419 Battle Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","274.13","No","No","No",NA,NA
"13","No","Historic Schoolhouse Leased to Community Organization","No","No","No","No","No","Cecil Rhea Crawford Park","No","No","0","No","No","No","Yes","Yes","No","{""address"":""6043 Cane Ridge Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","6.25","No","No","No",NA,NA
"14","No","7 Reservable Picnic Shelters","No","Yes","No","No","No","Cedar Hill","Yes","No","7","Yes","No","Yes","Yes","No","No","{""address"":""860 West Old Hickory Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","321.46","No","No","Yes","36.268774","-86.753417"
"15","No","Parthenon, Sportsplex, Arts Activity Center, Art Center, Band Shell / Amphetheater, Indoor Pool, Lake Watauga, Volleyball","Yes","Yes","No","No","No","Centennial Park","Yes","No","2","No","No","Yes","Yes","Yes","Yes","{""address"":""2500 West End Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","125.14","No","No","Yes","36.146893","-86.808533"
"16","No","1 Reservable Picnic Shelter","No","Yes","No","No","No","Charlotte Park","Yes","No","1","No","No","Yes","Yes","No","No","{""address"":""6031 Deal Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No","25.24","No","No","No","36.155785","-86.87042"
"17","No","Fountain","No","No","No","No","No","Church Street Park","No","No","0","No","No","No","No","No","No","{""address"":""600 Church St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","0.28","No","No","No","36.162487","-86.781724"
"18","No"," ","No","No","No","No","No","City Cemetery","No","No","0","No","No","No","No","Yes","No","{""address"":""401 Oak Street"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","19.78","No","No","No","36.148462","-86.770259"
"19","No","1 Reservable Picnic Shelter, Outdoor Pool","Yes","Yes","No","No","No","Cleveland Park","Yes","No","1","No","No","Yes","Yes","No","Yes","{""address"":""925 N 6th St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No","18.45","No","No","No","36.186804","-86.761687"
"20","No"," ","No","Yes","No","No","No","Clinton B. Fisk Park","No","No","0","No","No","No","Yes","No","No","{""address"":""2410 Burch St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","7.36","No","No","No","36.173937","-86.816281"
"21","No"," ","No","No","No","No","No","Commerce Center Park","No","No","0","No","No","No","No","No","No","{""address"":""120 3rd Ave N"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","0.31","No","No","No","36.162082","-86.776312"
"22","No"," ","No","No","No","No","No","County Cemetery","No","No","0","No","No","No","No","Yes","No","{""address"":""1398 County Hospital Road"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","10.12","No","No","No","36.183865","-86.852439"
"23","No","Natural area with walking trails",NA,"No","No","No","No","Crooked Branch Park","No","No","0","No","No","No","No","No","No","{""address"":""116D Ray Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No",NA,"No","No","No","No","No","No","No","No","84","No","No","No",NA,NA
"24","No","Spray park, Amphitheater","No","Yes","No","No","No","Cumberland Park","No","No","0","No","No","No","Yes","No","No","{""address"":""592 South 1st Street"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","Yes","No","No","No","No","No","No","No","No","No","No","4.76","No","No","No","36.163415","-86.768974"
"25","No"," ","No","No","No","No","No","Dallas H. Neil Park","No","No","0","No","No","No","No","No","No","{""address"":""1910 8th Ave South"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","1.32","No","No","No","36.1346","-86.779067"
"26","No","Trailhead","No","No","No","No","No","E. N. Peeler Park","No","Yes","0","No","No","No","No","No","No","{""address"":""2043 Neelys Bend Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","Yes","No","No","No","No","No","No","649.71","Yes","No","No",NA,NA
"27","No","Belmont University baseball, Outdoor Pool, Track, Easley Community Center, 2 Reservable Picnic Shelters","Yes","Yes","No","No","No","E. S. Rose Park","Yes","No","2","No","No","No","Yes","No","Yes","{""address"":""1000 Edgehill Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","25.08","No","No","No","36.141827","-86.783089"
"28","No","Indoor Pool, Fitness Center","Yes","Yes","No","No","No","East Park","No","No","0","No","No","No","Yes","No","Yes","{""address"":""700 Woodland St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","10.65","No","No","No","36.173412","-86.760625"
"29","No","ADA Approved Playgound","No","No","No","No","No","Eastland Park","Yes","No","1","No","No","No","Yes","No","No","{""address"":""1501 Douglas Ave"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","No","No","Yes","No","No","No","No","No","2.44","No","No","No","36.192156","-86.73973"
"30","No","Nature Center, Model Airplane Field, Warner Parks' Headquarters, Interpretive Deck, 11 Reservable Picnic Shelters, Dog Park, Nature Play Area","No","Yes","No","No","No","Edwin Warner Park","Yes","Yes","13","No","No","No","Yes","No","No","{""address"":""50 Vaughn Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","Yes","Yes","No","No","No","Yes","No","No","Yes","1113.12","No","No","No","36.050442","-86.902251"
